"","x_names","importance","RSimportance","order","rel_imp"
"2177","phenoRange",-62.850648432386,-1,1,0.290509157062743
"2184","phenoRange",-59.6528231493094,-1,1,0.282749341727944
"2191","phenoRange",-63.6890010692544,-1,1,0.294949557551674
"2205","phenoRange",-59.7407017215416,-1,1,0.28273636199528
"2212","phenoRange",-60.7110171060575,-1,1,0.256953063768109
"2219","phenoRange",-63.0331590632401,-1,1,0.290377091458757
"2226","phenoRange",-65.971457521882,-1,1,0.304812027071166
"2247","phenoRange",-59.6559957084941,-1,1,0.282652000069789
"2254","phenoRange",-60.7100744743324,-1,1,0.256935655806721
"2261","phenoRange",-63.042215004029,-1,1,0.290387580747503
"2268","phenoRange",-59.6412550889207,-1,1,0.282566364848927
"2275","phenoRange",-60.7140805687407,-1,1,0.256953825966539
"2282","phenoRange",-59.6509119583978,-1,1,0.282573954436186
"2289","phenoRange",-59.6310003074332,-1,1,0.282489221444733
"2303","phenoRange",-59.649413370757,-1,1,0.282623057419092
"2310","phenoRange",-59.6149361335709,-1,1,0.282479528134805
"2324","phenoRange",-60.2989723896296,-1,1,0.262458919117975
"2331","phenoRange",-60.7241119280575,-1,1,0.257013585517982
"2338","phenoRange",-65.9660344592029,-1,1,0.304889690755068
"2345","phenoRange",-60.7432795050384,-1,1,0.270292175056577
"2352","phenoRange",-63.0525833699037,-1,1,0.290387574876484
"2359","phenoRange",-41.8852887423273,-1,1,0.1288046046959
"2366","phenoRange",-63.0467673211125,-1,1,0.290333468035863
"2373","phenoRange",-58.4184191866684,-1,1,0.195630298602718
"2387","phenoRange",-60.7171480116807,-1,1,0.257028946155442
"2394","phenoRange",-60.7257487940783,-1,1,0.270278994010737
"2415","phenoRange",-59.640359531761,-1,1,0.282590904497455
"2422","phenoRange",-63.0388425668848,-1,1,0.290336264486907
"2429","phenoRange",-59.7510395573782,-1,1,0.282826460020576
"2436","phenoRange",-59.7427539932215,-1,1,0.282608615873289
"2443","phenoRange",-62.8374185434721,-1,1,0.290464907698006
"2450","phenoRange",-60.7077556849561,-1,1,0.256992558521067
"2456","phenoMean",-60.7641150393543,-1,1,0.207976982431878
"2464","phenoRange",-63.0286984593098,-1,1,0.290264919578004
"2471","phenoRange",-63.7028821779907,-1,1,0.295127236444957
"2478","phenoRange",-60.7195325729159,-1,1,0.257007168356551
"2485","phenoRange",-60.2851382846046,-1,1,0.262444720333513
"2492","phenoRange",-60.3101723621559,-1,1,0.262547338844916
"2499","phenoRange",-41.8668795585682,-1,1,0.128741094262667
"2506","phenoRange",-59.6361551371534,-1,1,0.282571941442308
"2520","phenoRange",-60.744926690867,-1,1,0.270278930364757
"2527","phenoRange",-63.0383899034991,-1,1,0.290436439733566
"2534","phenoRange",-64.0070929385007,-1,1,0.28918945261372
