"","x_names","importance","RSimportance","rank","rel_imp"
"1228","naLatMin",-13.8222438078216,-0.185079308007049,6,0.222327247550281
"1229","naLongMax",-19.630896269449,-0.262856938976277,3,0.0929174273090115
"1230","naLongMin",17.0545590346148,0.228359883415292,5,0.212129614078989
"1231","phenoMean",4.91012534483851,0.0657463877562588,7,0.0788848129685068
"1232","phenoRange",74.6828154733275,1,1,0.182020353849756
"1233","ITD",-24.6272486924698,-0.375784914483794,3,0.0834405140880407
"1234","naLatMax",35.7301737889725,0.54520342363236,2,0.11567749469618
"1235","naLatMin",-13.872879435382,-0.211684986714047,5,0.228375208879661
"1236","naLongMax",-21.4909020710814,-0.327927690900782,4,0.109960914883165
"1237","naLongMin",-0.0335975644647419,-0.000512662134812779,7,0.217116417368764
"1238","phenoMean",2.50933925513227,0.0382897760596796,6,0.0845395617391122
"1239","phenoRange",65.5354904980676,1,1,0.160889888345077
"1240","ITD",-18.131456324183,-0.255280521306024,5,0.218871844379719
"1241","naLatMax",45.467672502269,0.640158789863441,2,0.0964555996312085
"1242","naLatMin",-2.47335157015597,-0.034823373639345,7,0.255845482934761
"1243","naLongMax",-22.4958803390303,-0.316729111964721,3,0.0568980677977749
"1244","naLongMin",22.3890107818198,0.315224449802528,4,0.114611824780627
"1245","phenoMean",6.21528556566847,0.0875076613208095,6,0.0696945130940549
"1246","phenoRange",71.0256161787112,1,1,0.187622667381855
"1247","ITD",-3.22518296521338,-0.0678887831684652,6,0.187620432203604
"1248","naLatMax",47.5068607020121,1,1,0.142439708699323
"1249","naLatMin",-17.1262086801815,-0.360499692615052,4,0.119442188025519
"1250","naLongMax",-38.1368291630967,-0.802764665977634,2,0.175507833496082
"1251","naLongMin",24.2694929978481,0.510862907782499,3,0.116147175598437
"1252","phenoMean",-7.08252526559736,-0.149084261955819,5,0.0810662935988209
"1253","phenoRange",1.00105364049367,0.021071769965454,7,0.177776368378214
"1254","ITD",-3.68629447818149,-0.078871020780903,6,0.182373002248402
"1255","naLatMax",46.7382625669535,1,1,0.139419857381761
"1256","naLatMin",-17.2711937180721,-0.369530075991395,4,0.121047729943386
"1257","naLongMax",-38.8042053753989,-0.830244926623259,2,0.177128324710188
"1258","naLongMin",25.9673817751497,0.555591507877532,3,0.116081658272878
"1259","phenoMean",-7.77535080064764,-0.166359431729181,5,0.0798882450884817
"1260","phenoRange",-1.11015069356643,-0.0237525023951439,7,0.184061182354903
"1261","ITD",-16.5225740269676,-0.30734655067992,5,0.133830616267054
"1262","naLatMax",47.8720157314509,0.890496776418845,2,0.120846010034342
"1263","naLatMin",-10.6326116321915,-0.19778374147633,6,0.207817100532855
"1264","naLongMax",-18.5986439823697,-0.345964803424417,4,0.160415504161918
"1265","naLongMin",19.1707379828827,0.35660667541333,3,0.139715937313772
"1266","phenoMean",-7.03461813414919,-0.130855253869786,7,0.115246032041567
"1267","phenoRange",53.7587748761646,1,1,0.122128799648492
"1268","ITD",-18.4046317507401,-0.237695874441374,5,0.106615320314196
"1269","naLatMax",45.7068066128124,0.590303544938807,2,0.127535540067774
"1270","naLatMin",-9.18166890160282,-0.118581281492355,6,0.223349502060056
"1271","naLongMax",-24.2184994842206,-0.312781993713527,4,0.0929485836721377
"1272","naLongMin",24.3309347008297,0.314234094874358,3,0.188372155888611
"1273","phenoMean",7.76957222922553,0.100344048719525,7,0.0947104358741456
"1274","phenoRange",77.4293276818295,1,1,0.166468462123079
"1275","ITD",-24.620839109007,-0.375717914673203,3,0.0834512955660249
"1276","naLatMax",35.7332283332781,0.545294738919324,2,0.115635628855167
"1277","naLatMin",-13.8647281641152,-0.211577953548565,5,0.228369374761716
"1278","naLongMax",-21.4868932056433,-0.327893402507016,4,0.109954357790979
"1279","naLongMin",-0.0292230055265108,-0.000445947705043386,7,0.217130362464335
"1280","phenoMean",2.50524953438836,0.0382305057365842,6,0.0845680859774076
"1281","phenoRange",65.5301175362427,1,1,0.16089089458437
"1282","ITD",-35.1660136517002,-0.918525444854797,2,0.134715639974567
"1283","naLatMax",38.2852906783212,1,1,0.165244558969748
"1284","naLatMin",-23.4625126671304,-0.612833604014293,4,0.0572058233242881
"1285","naLongMax",-26.3510580883963,-0.688281520696863,3,0.167112449925154
"1286","naLongMin",21.5483833989647,0.56283713711403,5,0.2355614779247
"1287","phenoMean",-12.372191725203,-0.323157837017774,6,0.111918452088601
"1288","phenoRange",10.5296192307449,0.275030411006055,7,0.128241597792941
"1289","ITD",-17.5854712880487,-0.473644464507246,5,0.285041136669321
"1290","naLatMax",11.4796981512282,0.309192480228753,6,0.035130143310494
"1291","naLatMin",-18.7595444178793,-0.505266775320655,2,0.276073203513947
"1292","naLongMax",-18.2879435571649,-0.492564747978003,4,0.0897635641331869
