"","x_names","importance","RSimportance","rank","absrank","iter","rel_imp"
"2814","phenoRange",-93.1381061783497,-1,1,1,256,0.113281529653321
"2821","naLongMax",-155.139488615796,-1,1,1,257,0.133627268761944
"2837","polyC1",-104.330233071426,-1,1,1,258,0.0790512565585526
"2859","polyC1",-152.763886449161,-1,1,1,260,0.105037193642927
"2870","polyC1",-79.6526506863382,-1,1,1,261,0.0986644374124671
"2887","naLongMax",-137.994857838521,-1,1,1,263,0.140275645760876
"2902","phenoRange",-124.832548749938,-1,1,1,264,0.0831101969638915
"2914","polyC1",-152.745379111752,-1,1,1,265,0.126066450055406
"2931","naLongMax",-133.321649218679,-1,1,1,267,0.134016223234749
"2958","polyC1",-206.114265308633,-1,1,1,269,0.111059976788295
"2969","polyC1",-62.4305203809685,-1,1,1,270,0.101725879266446
"2980","polyC1",-100.134226266673,-1,1,1,271,0.0948795649646578
"3002","polyC1",-117.823396631017,-1,1,1,273,0.0602676076629349
"3013","polyC1",-162.702744091569,-1,1,1,274,0.112168202225639
"3079","polyC1",-107.439571680824,-1,1,1,280,0.132953406062534
"3101","polyC1",-130.701438596767,-1,1,1,282,0.0691158808793981
"3133","phenoRange",-122.355077537819,-1,1,1,285,0.15660418663774
"3167","polyC1",-126.166658510758,-1,1,1,288,0.105562440049917
"3189","polyC1",-88.8984154076667,-1,1,1,290,0.117949569070553
"3233","polyC1",-75.9422882333436,-1,1,1,294,0.0793044173418219
"3244","polyC1",-120.236512816142,-1,1,1,295,0.0811252702681024
"3266","polyC1",-174.352218489783,-1,1,1,297,0.109398237963055
"3277","polyC1",-150.553014575408,-1,1,1,298,0.0911479714657822
"3288","polyC1",-94.2882776069678,-1,1,1,299,0.0795908101842953
"3299","polyC1",-135.29852975371,-1,1,1,300,0.168237955047558
"3310","polyC1",-94.3453911087826,-1,1,1,301,0.110728501008948
"3321","polyC1",-108.0487140495,-1,1,1,302,0.106452566841798
"3343","polyC1",-81.3899637956622,-1,1,1,304,0.075986093935589
"3365","polyC1",-125.475468115512,-1,1,1,306,0.0636579608304918
"3398","polyC1",-140.197723005834,-1,1,1,309,0.142139738545773
"3409","polyC1",-116.305682746608,-1,1,1,310,0.095463941791576
"3420","polyC1",-117.282305875859,-1,1,1,311,0.0818070005102707
"3431","polyC1",-117.637103705963,-1,1,1,312,0.087911406694672
"3453","polyC1",-78.4250753800322,-1,1,1,314,0.101672658549323
"3486","polyC1",-102.206767964361,-1,1,1,317,0.120951991508919
"3491","naLatMin",-76.7705606306952,-1,1,1,318,0.121772172001528
"3514","naLongMax",-118.875345234675,-1,1,1,320,0.0995759160347078
"3540","phenoRange",-157.090589237568,-1,1,1,322,0.13801230415366
"3569","naLongMax",-144.48620196757,-1,1,1,325,0.123508911366609
"3585","polyC1",-168.837108659476,-1,1,1,326,0.142947059559394
