"","x_names","importance","RSimportance","order","rel_imp"
"1421","phenoRange",-119.034419923105,-1,1,0.204283579018587
"1423","naLatMax",-87.868387337696,-1,1,0.173985190786512
"1435","phenoRange",-122.648541009139,-1,1,0.219128611485742
"1449","phenoRange",-69.2474294015316,-1,1,0.105471638632989
"1465","naLatMax",-77.6073841569772,-1,1,0.134757441511059
"1480","naLatMin",-82.982654219823,-1,1,0.105398602717289
"1498","phenoRange",-142.855499434792,-1,1,0.245499997790373
"1505","phenoRange",-106.612777356769,-1,1,0.196629933898681
"1509","naLongMax",-76.9774842904186,-1,1,0.158414691055742
"1519","phenoRange",-103.086213139213,-1,1,0.203746365960657
"1526","phenoRange",-113.262325031432,-1,1,0.203414539229599
"1537","naLongMax",-94.4019656367399,-1,1,0.164731427420632
"1547","phenoRange",-56.9515013589032,-1,1,0.20412330430217
"1561","phenoRange",-138.695541360892,-1,1,0.183132988035369
"1568","phenoRange",-106.337764733141,-1,1,0.197949905956311
"1589","phenoRange",-117.155003859865,-1,1,0.203169125752718
"1596","phenoRange",-116.832106121076,-1,1,0.203736196677084
"1598","naLatMax",-95.4929388781407,-1,1,0.193123984486567
"1610","phenoRange",-71.6923917930129,-1,1,0.172316011261534
"1617","phenoRange",-110.403058461538,-1,1,0.199478989963001
"1627","naLatMin",-90.9431260415951,-1,1,0.157880309082631
"1638","phenoRange",-132.452136995892,-1,1,0.240743893955155
"1652","phenoRange",-103.291588927058,-1,1,0.20422352600356
"1659","phenoRange",-124.753072260648,-1,1,0.19274403979276
"1666","phenoRange",-110.609894718721,-1,1,0.227168516888264
"1673","phenoRange",-116.539621516288,-1,1,0.215215337101713
"1687","phenoRange",-72.6992037761598,-1,1,0.321889326150158
"1690","naLatMin",-91.8324146047455,-1,1,0.194462388206162
"1701","phenoRange",-102.487978232074,-1,1,0.204123913985945
"1722","phenoRange",-84.7857291898124,-1,1,0.197070895824118
"1730","ITD",-70.6809073945268,-1,1,0.255548117588878
"1737","ITD",-69.9232141518918,-1,1,0.255666805979621
"1750","phenoRange",-138.692733840836,-1,1,0.183152550472504
"1757","phenoRange",-64.4030399013658,-1,1,0.103667102836389
"1764","phenoRange",-73.7811861976194,-1,1,0.149279261279036
"1785","phenoRange",-76.1901912639733,-1,1,0.127594885913607
"1796","naLongMax",-49.8579704714271,-1,1,0.164701108131912
"1804","naLongMin",-53.3611611007791,-1,1,0.0833165371886677
"1810","naLongMax",-47.4966349759204,-1,1,0.183333556934485
"1820","phenoRange",-87.6434044724304,-1,1,0.151500326903181
"1827","phenoRange",-109.671508784232,-1,1,0.216587301423217
"1834","phenoRange",-102.399731801293,-1,1,0.162137464705184
"1841","phenoRange",-63.5264904218118,-1,1,0.130706572084715
"1848","phenoRange",-124.100971217227,-1,1,0.22743891489232
"1855","phenoRange",-127.62050207428,-1,1,0.193028035387562
"1862","phenoRange",-87.931293578215,-1,1,0.183046550712997
"1890","phenoRange",-87.6823348493437,-1,1,0.15142720175803
"1897","phenoRange",-111.531204729622,-1,1,0.155708148339659
